PROBEID	SYMBOL	logFC	P.Value	adj.P.Val
207951_at	CSN2	-0.119409847	0.009903594	0.018712892
216251_s_at	TTLL12	-0.125294563	0.009911	0.01872622
220437_at	ANGPTL8	-0.10595225	0.009917796	0.018738394
1557056_at	C5orf47	-0.109891555	0.009918377	0.018738516
231828_at	CUTALP	-0.507997825	0.009918566	0.018738516
225001_at	RAB3D	-0.129125116	0.009923398	0.018746979
1567277_at	CTTN	-0.122499897	0.009924048	0.018747248
232139_s_at	SLC60A2	-0.105169597	0.009924246	0.018747248
217058_at	GNAS	-0.164906562	0.009928797	0.018755178
223818_s_at	RSF1	-0.33039176	0.009931489	0.018759597
208738_x_at	SUMO2	0.120597486	0.009935149	0.018765843
230744_at	FSTL1	0.275272646	0.009939401	0.01877254
237856_at	RAP1GDS1	-0.134367244	0.009941235	0.018775336
206565_x_at	GUSBP14	0.313822552	0.009942944	0.018777898
1553041_at	HTR3C	-0.140284385	0.009943413	0.018778115
241866_at	SLC16A7	-0.167848175	0.009944201	0.018778937
227250_at	KREMEN1	0.333806739	0.00995142	0.018791235
1569835_at	LOC339352	-0.077030542	0.009954346	0.018795423
1560164_at	TRDN-AS1	-0.114008948	0.009956532	0.018798883
226932_at	SSPN	0.381635802	0.009957686	0.018799952
229045_at	SNX20	0.110044046	0.009957806	0.018799952
1556304_s_at	LINC00899	-0.12569451	0.009958445	0.018800492
210338_s_at	HSPA8	-0.330536513	0.009966231	0.018814523
1554946_at	LINC01234	-0.083086958	0.009973377	0.018826675
220610_s_at	LRRFIP2	0.161636051	0.009979445	0.018836792
202791_s_at	PPP6R2	-0.15351527	0.009990763	0.018857485
216611_s_at	SLC6A2	-0.118449638	0.009994683	0.018864214
202206_at	ARL4C	0.409429025	0.009999167	0.018872007
211716_x_at	ARHGDIA	0.167207877	0.010003266	0.018878402
1566093_at	ARHGEF12	-0.128996996	0.010005989	0.01888287
234423_x_at	LINC02256	0.14976755	0.01000916	0.018888185
1556518_at	DLG1-AS1	-0.097887855	0.010031431	0.018928196
1559658_at	KATNBL1	0.144567957	0.010032076	0.018928741
222006_at	LETM1	0.157566086	0.010034964	0.018933517
202880_s_at	CYTH1	-0.30155785	0.010036613	0.018935957
221693_s_at	MRPS18A	0.278374336	0.010038026	0.01893795
1557498_a_at	LINC01487	-0.077874954	0.010055425	0.018970102
236980_at	STRN	-0.11361624	0.010057742	0.018972516
227324_at	COQ8B	0.126654927	0.010057917	0.018972516
212224_at	ALDH1A1	-0.69761507	0.010058167	0.018972516
209560_s_at	DLK1	0.862774998	0.010058489	0.018972516
1559957_a_at	LINC00205	-0.400210903	0.010062197	0.018978836
232875_at	FOCAD	-0.098724409	0.010063201	0.018980057
1558081_at	SNORA65	-0.120129672	0.010065489	0.018983698
1552320_a_at	DRC2	-0.079026559	0.010066148	0.018984266
242491_at	LOC105369228	0.195582557	0.010070735	0.01899157
217242_at	ZNF154	-0.092808552	0.010071931	0.018992477
1561332_at	ATP13A5	-0.192949303	0.010075563	0.018998653
1556369_a_at	PHKG2	-0.105236883	0.010080976	0.019008146
204607_at	HMGCS2	-0.166540363	0.010081313	0.019008146
237228_at	ZDHHC1	-0.108657702	0.010083995	0.019012528
235085_at	PRAG1	0.30312713	0.010085038	0.019013821
1554234_at	KATNAL2	0.204964773	0.010094423	0.019030359
1555876_at	SRGAP1	0.108568909	0.010094526	0.019030359
207722_s_at	BTBD2	-0.242036255	0.010098381	0.019036951
216727_at	STK38	-0.091212277	0.010104938	0.019048635
208085_s_at	ARHGAP6	-0.121126024	0.010106715	0.01905131
240889_at	CDRT15L2	-0.103213161	0.010115628	0.019067435
1555020_a_at	ARHGAP20	-0.130607697	0.010125566	0.019085491
207578_s_at	HTR4	-0.115747524	0.010128816	0.019090939
235606_at	DUBR	-0.250390466	0.010132382	0.019096983
214419_s_at	CYP2C9	-0.090790012	0.010133093	0.019097646
236186_x_at	IL17RE	-0.130624951	0.010133944	0.019098573
1556362_at	LOC101927531	-0.099107494	0.010140764	0.01911007
232721_at	TRIM55	-0.094175011	0.01014622	0.019119674
1569205_at	PRCP	-0.090801357	0.010147819	0.01912201
1560295_at	CYP19A1	-0.11762835	0.010153135	0.019130671
1567032_s_at	ZNF160	0.262691558	0.010154374	0.019132327
219857_at	PLEKHS1	0.325968935	0.010157738	0.019137986
207244_x_at	CYP2A6	-0.131316857	0.010160461	0.019142439
238615_at	ERLIN2	0.162445681	0.010174527	0.01916826
213672_at	MARS1	0.470848614	0.010184782	0.0191869
1555015_a_at	ZNF398	0.137583899	0.010190181	0.019196391
230040_at	ADAMTS18	-0.344743985	0.010196328	0.019207289
222277_at	PCOTH	0.169095429	0.010198591	0.019210871
220389_at	CCDC81	0.116753146	0.010201889	0.019215721
212805_at	PRUNE2	-0.391571076	0.010204415	0.019219797
228877_at	RGL3	0.195051233	0.010209018	0.019227786
1558101_at	NFIA	0.477305701	0.010217239	0.019242587
238184_at	LOC105377436	-0.07865858	0.010222927	0.019252618
239369_at	LCN8	-0.104329525	0.010225148	0.019256119
205468_s_at	IRF5	0.128534005	0.010238379	0.019280352
226956_at	MTMR3	-0.19092976	0.010246286	0.019294557
230134_s_at	RC3H2	0.183569052	0.01025747	0.019314329
223908_at	HDAC8	0.174460179	0.010257512	0.019314329
230216_at	HECTD4	-0.107779473	0.01025883	0.019316127
219411_at	ELMO3	0.108144739	0.010267208	0.01933106
1569482_at	TNRC6C	-0.127737536	0.010267853	0.01933106
235870_at	LINC01140	-0.158889863	0.010271952	0.019338094
212593_s_at	PDCD4	-0.263274458	0.010275093	0.019343321
209943_at	FBXL4	0.175486729	0.01027685	0.019345944
214965_at	SPATA2L	-0.176165848	0.010278734	0.019348804
224179_s_at	MIOX	-0.109227636	0.010283382	0.019356868
222603_at	ERMP1	-0.509832593	0.010286785	0.01936201
239768_x_at	GPATCH2	-0.215495713	0.010286842	0.01936201
213771_at	IRF2BP1	-0.148835343	0.010295691	0.01937798
220521_s_at	ATG16L1	0.188512405	0.010298723	0.019382314
205922_at	VNN2	0.198613932	0.01030557	0.019394513
237502_at	CRLS1	0.347073553	0.01030789	0.019398193
239192_at	PARD3B	-0.099275539	0.010320033	0.019419818
230593_at	GRIK3	0.601129669	0.010320478	0.019419818
212484_at	FAM89B	0.173859377	0.010322448	0.019422838
216161_at	SBNO1	0.198860546	0.010330546	0.019437386
240044_x_at	TNRC6B	-0.252284425	0.010333042	0.019440706
212035_s_at	EXOC7	0.215496145	0.010342948	0.019457967
221687_s_at	MVB12B	-0.263249218	0.010347794	0.019466394
231612_at	CABS1	-0.094507136	0.010352447	0.019474457
232571_at	CAPN10-DT	-0.115821159	0.010357739	0.019483033
217958_at	TRAPPC4	0.192458576	0.010370238	0.019505854
236165_at	MSL3	0.137786953	0.010371632	0.019507154
240273_at	LINC01525	-0.085891448	0.010371663	0.019507154
226518_at	KCTD10	-0.193847416	0.010382206	0.019526292
223732_at	SLC23A1	-0.123391737	0.010383092	0.019527268
214413_at	TAT	-0.082873405	0.010386671	0.019533308
200973_s_at	TSPAN3	0.380194115	0.010394056	0.019546503
1560819_a_at	LINC00944	-0.064291697	0.010395516	0.019548558
224202_at	SUFU	-0.122532778	0.010401572	0.019559254
234580_at	TMEM106A	-0.093633468	0.010409072	0.019572665
235063_at	SHLD1	0.136109098	0.010409727	0.019573204
1552337_s_at	HOXD4	0.205813827	0.010416337	0.01958494
1563524_a_at	ITPK1-AS1	-0.117004828	0.010425718	0.01960119
236487_at	SCLT1	0.301698859	0.010430729	0.019609685
1553539_at	KRT74	-0.11288486	0.010430974	0.019609685
222803_at	PRTFDC1	0.433648057	0.010435954	0.019618354
230903_s_at	TDRP	-0.15238438	0.010439465	0.019623566
220014_at	PRR16	-0.334832257	0.010443487	0.019630431
243907_at	GREB1L	-0.319227752	0.010447252	0.019636814
1557047_at	YEATS2	-0.176353416	0.010450775	0.01964274
1557185_at	TPCN1	0.142887358	0.010463794	0.019663734
206309_at	CNMD	-0.14145749	0.010470104	0.019674896
211073_x_at	RPL3	0.15554357	0.01047051	0.019674963
225473_at	MTCL2	0.242362844	0.010471619	0.019676351
217007_s_at	ADAM15	0.196821727	0.010473423	0.019679046
233590_at	MIR3681HG	-0.15226585	0.010481977	0.019694421
208915_s_at	GGA2	0.147611147	0.010482716	0.019694741
206863_x_at	HRK	-0.119691747	0.010482888	0.019694741
1555114_at	ATP6V0A2	0.081113963	0.010485631	0.019699198
230107_at	HM13	-0.128093931	0.010490281	0.019706541
206139_at	PI4KB	0.133364435	0.010503112	0.019729948
223088_x_at	ECHDC1	0.226109769	0.010514175	0.019750001
206940_s_at	POU4F1	0.112931965	0.010516378	0.019752773
241396_at	NEDD4L	-0.2262281	0.010524671	0.019767651
212362_at	ATP2A2	0.270897753	0.010528983	0.019775051
1563743_at	LINC01555	-0.118225853	0.010530548	0.019777291
218322_s_at	ACSL5	-0.161867079	0.01053272	0.019780671
222362_at	AGFG2	0.192925434	0.010535164	0.019784563
218514_at	SMG8	0.231741466	0.010544317	0.019801052
221538_s_at	PLXNA1	-0.301706502	0.010546574	0.01980389
227171_at	CCT4	-0.095385088	0.010548079	0.019806017
59375_at	MYO15B	-0.165465459	0.010553367	0.019813846
206647_at	HBZ	-0.121016501	0.01056338	0.019831945
216909_at	RRP12	-0.105726905	0.010564851	0.019834005
1555551_at	SERPINB5	-0.061049841	0.010567629	0.01983782
234886_at	TRBV24-1	-0.114121912	0.010568128	0.019838055
208441_at	IGF1R	-0.123074899	0.010570833	0.019842432
226999_at	RNPC3	0.305095126	0.010577743	0.019854703
222470_s_at	UQCC1	-0.215775362	0.010578274	0.019854998
211655_at	IGLC1	-0.10945509	0.010579464	0.01985653
212904_at	LRRC47	-0.215836472	0.010580289	0.019857377
213887_s_at	POLR2E	0.286460738	0.010580875	0.019857775
221446_at	ADAM30	-0.129073477	0.010583192	0.019861423
204807_at	RXYLT1	0.421031724	0.010585714	0.019864752
223876_at	SPATA16	-0.104886047	0.010587669	0.019867721
220965_s_at	RSPH6A	-0.135501055	0.010589342	0.019869456
225813_at	RC3H2	-0.224893871	0.010599431	0.019887685
212958_x_at	PAM	0.277048218	0.01060297	0.019893622
214261_s_at	ADH6	-0.095283988	0.010621394	0.019927486
216360_x_at	RRP12	-0.139039578	0.010622345	0.019928569
203888_at	THBD	0.259611465	0.010631107	0.019944301
1555090_x_at	TMEM182	0.147985808	0.010635562	0.019951251
208537_at	S1PR2	-0.097246162	0.010641429	0.019960848
228473_at	MSX1	0.136883229	0.010643006	0.019963102
1554531_at	TTC12	-0.125006044	0.010661342	0.019996789
238174_at	FBXL17	-0.138745633	0.010665169	0.02000326
205847_at	PRSS22	-0.102140569	0.010668929	0.020009606
209284_s_at	TASOR	0.198024228	0.010676267	0.020022663
239163_at	UBE2B	0.250817262	0.010680999	0.020030124
222730_s_at	ZDHHC2	0.241467825	0.01068152	0.020030395
211017_s_at	NF2	-0.10972993	0.010691576	0.020048544
208643_s_at	XRCC5	-0.246390107	0.010694755	0.02005309
209862_s_at	CEP57	0.204473566	0.010697309	0.020056464
211473_s_at	COL4A6	0.152426041	0.010698917	0.020058771
214709_s_at	KTN1	0.25050214	0.010700622	0.020060756
1552383_at	GARIN4	-0.207318593	0.010700731	0.020060756
228735_s_at	PANK2	-0.079601258	0.010707544	0.020072112
210823_s_at	PTPRS	-0.245550482	0.010711844	0.020079465
220453_at	SLC66A1	-0.118056706	0.010714901	0.020084487
1565934_at	ZGRF1	-0.074197314	0.010716744	0.020087234
220628_s_at	SDK2	-0.129405424	0.010717488	0.020087601
222560_at	LANCL2	-0.12903185	0.010717696	0.020087601
223492_s_at	LRRFIP1	-0.336961746	0.010725244	0.020101039
213162_at	DYNC1LI2	-0.121699123	0.010734176	0.020116361
1553225_s_at	ZNF75D	0.130510043	0.01073819	0.020122933
220662_s_at	HEYL	-0.117548323	0.01073844	0.020122933
1555227_a_at	MANEA	0.165619568	0.010739774	0.020124723
209967_s_at	CREM	-0.276992089	0.01074037	0.02012513
224819_at	TCEAL8	-0.258607275	0.010742996	0.020129341
201153_s_at	MBNL1	0.233942359	0.010746254	0.020134735
202322_s_at	GGPS1	0.175078575	0.010753937	0.020147709
207082_at	CSF1	0.146871713	0.010758631	0.020155794
205064_at	SPRR1B	-0.068841659	0.010759805	0.020157283
1558849_at	LINC00908	0.119941903	0.010765012	0.020166327
216345_at	ZSWIM8	-0.147529295	0.010773394	0.020180606
227040_at	NHLRC3	0.333909338	0.01077522	0.020183315
228504_at	SCN7A	0.775833226	0.010777105	0.020186135
203776_at	GPKOW	0.194760638	0.010780673	0.020192107
239895_at	AQR	0.094093995	0.010782993	0.020195028
228247_at	LOC283788	-0.177481543	0.010798884	0.020223365
212502_at	ADO	-0.290206753	0.0108036	0.020230727
229995_at	SYCN	-0.130560211	0.010803883	0.020230727
1557129_a_at	FAM111B	0.135875927	0.010804781	0.020231557
211261_at	NUP214	-0.090616325	0.010805246	0.020231714
217953_at	PHF3	-0.054434501	0.010806172	0.020232735
1558368_s_at	DRAXIN	0.231851136	0.01080954	0.020238328
1562078_at	LINC03093	-0.100409029	0.010814728	0.020247329
217700_at	CNPY4	-0.141651266	0.010820537	0.02025749
222738_at	WWC2	-0.176406716	0.010824819	0.020264793
214957_at	ACTL8	-0.100999632	0.010828069	0.020270164
213429_at	BICC1	0.378097983	0.0108368	0.020285078
212474_at	AVL9	-0.238473443	0.010837225	0.020285161
243116_at	PIP5KL1	-0.122098007	0.010854759	0.020316548
206239_s_at	SPINK1	0.356763225	0.010858576	0.020322978
203845_at	KAT2B	0.351525292	0.0108693	0.020340899
203066_at	CHST15	-0.324541493	0.010869986	0.020341467
1552532_a_at	ATP6V1C2	-0.054196921	0.010870673	0.020342036
235783_at	MRTO4	0.284939758	0.010879238	0.020357048
232839_at	STK24-AS1	-0.087819961	0.010879461	0.020357048
214698_at	PTBP3	0.099918781	0.010889303	0.020374746
1561558_at	PRKG1-AS1	-0.097897639	0.010891386	0.020377872
208042_at	AGGF1	0.254210664	0.01089174	0.020377872
229104_s_at	GPR39	0.169383604	0.010896043	0.020385205
207200_at	OTC	-0.190475002	0.010901818	0.020395292
216323_x_at	TUBA3D	-0.173860383	0.010912017	0.020413653
226985_at	FGD5	0.233946756	0.010922324	0.020432215
228071_at	GIMAP7	0.484705075	0.01092317	0.020433078
211589_at	PML	-0.161685108	0.010927056	0.020439628
214790_at	SENP6	-0.250651851	0.010955753	0.020492587
1563113_at	UBR4	-0.09775087	0.01096084	0.02050138
220777_at	KIF13A	-0.254982959	0.010970043	0.020517873
211706_s_at	CDK19	-0.139522302	0.010971625	0.020520109
213629_x_at	MT1F	0.304506452	0.010974014	0.020523267
231562_at	APOC2	0.119189367	0.010974086	0.020523267
1552486_s_at	LACTB	0.202747141	0.010976929	0.020527861
227306_at	ACER2	-0.143123292	0.010980613	0.020534029
207848_at	AVP	-0.137737478	0.010984104	0.020539834
230239_at	ROCK1	-0.140360909	0.010988191	0.02054603
227400_at	NFIX	0.330307578	0.010999158	0.020565091
231705_at	RIDA	-0.121533144	0.01100149	0.020568727
232467_at	KIRREL1	-0.146622447	0.011002343	0.020569598
207424_at	MYF5	-0.085658724	0.01100779	0.020579057
1560720_at	MKNK1	0.191235029	0.01101796	0.020597346
1557767_at	NANOS2	-0.090877725	0.011019957	0.020600355
242525_at	SLC2A5	0.228789472	0.011035009	0.02062704
208571_at	ANP32D	-0.100883957	0.011040425	0.020636439
228603_at	ACTR3	0.31912022	0.011049426	0.020651811
1569849_at	LOC102723831	-0.128673654	0.01105929	0.02066952
241463_at	EIF2AK3	-0.111185454	0.011060613	0.020671266
220051_at	PRSS21	-0.140417581	0.011062089	0.020672591
206206_at	CD180	0.192302684	0.0110621	0.020672591
244478_at	LRRC37A3	0.130470055	0.011065239	0.02067773
209089_at	RAB5A	0.167050433	0.011069101	0.020683494
203306_s_at	SLC35A1	-0.242927685	0.011072489	0.020689095
201483_s_at	SUPT4H1	0.224664478	0.011072894	0.020689126
238963_at	RBM18	-0.253564144	0.011073901	0.020690279
238057_at	USP45	-0.183452329	0.011103742	0.020744576
209695_at	PTP4A3	0.238736874	0.011114656	0.020763506
235317_at	MIR23AHG	0.112992435	0.011117553	0.020767457
209872_s_at	PKP3	-0.124077582	0.01111842	0.020768347
213358_at	MTCL1	-0.373418908	0.011122082	0.02077391
218791_s_at	KATNBL1	-0.263298094	0.011137029	0.020800914
230864_at	NIM1K	-0.260352876	0.011168168	0.020856142
221795_at	NTRK2	-0.524152566	0.011171148	0.020860973
231737_at	CACNG4	0.32334885	0.011180284	0.020876568
203183_s_at	SMARCD1	0.177848938	0.011184851	0.020883628
201119_s_at	COX8A	0.167740041	0.011212749	0.020934246
37145_at	GNLY	0.279676262	0.011218156	0.020942869
215679_at	LUNAR1	0.067122691	0.011229013	0.020962402
239426_at	SLC2A8	-0.234388552	0.011241933	0.020985046
228945_s_at	SLC39A8	-0.123597258	0.011253325	0.021004836
228219_s_at	UPB1	-0.108289428	0.011265638	0.021027081
1567059_at	OR8G1	-0.15500036	0.011271583	0.021037439
202182_at	KAT2A	0.206817999	0.011282612	0.021054326
217147_s_at	TRAT1	-0.09872225	0.01128443	0.021056979
226707_at	NAPRT	0.173024691	0.011285918	0.021059016
226024_at	COMMD1	0.155148988	0.011287012	0.021060319
223765_s_at	KBTBD4	-0.181328824	0.011295009	0.021074499
240708_at	PEX5L-AS2	-0.084229719	0.01129733	0.02107809
208725_at	EIF2S2	0.121112735	0.011308986	0.021098057
201981_at	PAPPA	0.118685076	0.011309222	0.021098057
1569008_at	FAM201B	-0.144738599	0.011313074	0.021104501
210398_x_at	FUT6	-0.113152473	0.011314092	0.021104977
240871_at	FAM221B	-0.123275931	0.011314123	0.021104977
231435_at	LLCFC1	-0.106653226	0.011319137	0.021113589
215486_at	PRPS1L1	-0.069259555	0.011325458	0.021124639
211350_s_at	KIF25-AS1	-0.093578714	0.011331897	0.021135908
221256_s_at	HDHD3	-0.191449368	0.011346806	0.021162229
202005_at	ST14	0.136592854	0.011349055	0.021165682
226304_at	HSPB6	0.368453345	0.011351554	0.021169598
227666_at	DCLK2	0.330148104	0.011352511	0.021170641
200069_at	SART3	0.210601876	0.01136212	0.021186329
223264_at	TLNRD1	-0.228746998	0.011364163	0.021189396
239133_at	CTDSPL2	0.25545117	0.01136549	0.021191126
221492_s_at	ATG3	0.277112263	0.011367799	0.02119422
228650_at	POLR2D	0.213712799	0.0113697	0.021196746
216207_x_at	IGKV1D-13	0.233620021	0.011371831	0.021199974
219371_s_at	KLF2	0.282302408	0.01137299	0.021201391
237357_at	OSTM1-AS1	-0.098515517	0.011375644	0.021205596
1555725_a_at	RGS5	-0.498021701	0.011394105	0.021238518
236598_at	LINC01806	-0.152546467	0.011396794	0.021242787
219925_at	ZMYM6	0.134970805	0.01140711	0.021260524
230718_at	HSF5	-0.117840419	0.011408796	0.021262174
208574_at	SOX14	-0.126997172	0.011423725	0.021288505
1565795_at	DUOX1	-0.104348213	0.011439887	0.02131638
209574_s_at	LDLRAD4	-0.416932696	0.011441113	0.021317918
213182_x_at	CDKN1C	-0.503366689	0.011459866	0.02135211
230052_s_at	NFKBID	-0.182454256	0.011466659	0.021364018
211660_at	POU2F2	-0.106500694	0.011469474	0.021368134
1553209_at	RNFT2	-0.136983024	0.011469672	0.021368134
212359_s_at	ZSWIM8	0.197374626	0.011476966	0.021380974
207559_s_at	ZMYM3	-0.129623752	0.011478456	0.021383
208023_at	TNFRSF4	0.086280741	0.011479668	0.021384508
214186_s_at	HCG26	0.128033936	0.011481932	0.021387976
227237_x_at	ATAD3B	0.127840827	0.011483303	0.02138978
217658_at	THAP3	-0.156028916	0.011488835	0.021399334
218759_at	DVL2	0.118690576	0.011504168	0.021427143
234408_at	IL17F	-0.121912329	0.011505176	0.021428269
218793_s_at	SCML1	0.394973158	0.011505873	0.021428677
224778_s_at	TAOK1	-0.193535665	0.011509597	0.021434249
228766_at	CD36	0.676275984	0.011512746	0.021439312
1569448_at	PGM2L1	0.182233476	0.011513462	0.021439312
208430_s_at	DTNA	0.430654173	0.011513525	0.021439312
1568749_at	LOC105374928	-0.086234758	0.011518731	0.021448255
1555201_a_at	RMND1	-0.135163372	0.011522634	0.02145477
212944_at	SLC5A3	0.472461051	0.011525766	0.021459099
236365_at	AMACR	-0.070946046	0.011528002	0.021461988
244030_at	STYX	0.195048294	0.011540815	0.02148486
203993_x_at	CFAP410	-0.093992205	0.011554297	0.021506191
202490_at	ELP1	-0.096188398	0.011558376	0.021512277
233038_at	LOC105373942	0.243625335	0.011558797	0.021512307
227736_at	GPR15LG	-0.095522116	0.011561235	0.02151609
236031_x_at	FREM1	0.14059081	0.011564158	0.021520776
241670_x_at	NBAT1	-0.174785653	0.011565722	0.021522934
213976_at	CIZ1	0.162846444	0.011566672	0.021523805
1558984_at	MAP3K11	-0.096999501	0.011567	0.021523805
205888_s_at	JAKMIP2	-0.255269552	0.01156993	0.021528503
228213_at	H2AJ	-0.150638464	0.011571675	0.021530997
224673_at	LENG8	0.356485825	0.011586906	0.021558581
238425_at	PSMB2	0.142599567	0.011599569	0.021581386
208493_at	HOXA11	-0.135753882	0.011600513	0.021581633
223936_s_at	FOXP1	-0.119196922	0.011602373	0.021584337
231892_at	ARHGEF39	-0.155388055	0.01160373	0.021586107
209779_at	LLPH	0.075787177	0.01160626	0.021590057
244874_at	CHST15	-0.122700883	0.011609444	0.021595224
232462_s_at	A1BG-AS1	-0.113790634	0.011618823	0.021611913
1557763_at	LPAR6	-0.117492701	0.011619756	0.021612429
212821_at	PLEKHG3	-0.156471221	0.011619913	0.021612429
209486_at	UTP3	0.207860146	0.011622939	0.021617301
240553_at	TESC	-0.111623987	0.011635086	0.021639135
228092_at	CREM	-0.300532344	0.0116389	0.021645471
237107_at	PRKRA	0.341878419	0.011644492	0.021653871
1569773_at	ATP8A1	-0.065544605	0.011644639	0.021653871
1570262_at	LINC02380	-0.129877117	0.011654662	0.021670993
208268_at	ADAM28	0.358517571	0.011655645	0.021672062
225381_at	MIR100HG	0.350090392	0.011661313	0.021681842
220054_at	IL23A	-0.1313748	0.011663061	0.021684335
243081_at	DSG2-AS1	0.077495352	0.011664155	0.02168561
212142_at	MCM4	0.244953432	0.011665607	0.021687549
220250_at	ZNF286A	0.198036347	0.011671707	0.021698133
234712_at	LINC00470	-0.129299369	0.011684955	0.021717507
229405_at	KIF7	0.145328012	0.01168499	0.021717507
207832_at	BAIAP2	-0.123659867	0.01169052	0.021727027
215538_at	LARGE1	-0.15306171	0.011695199	0.021734962
1569781_at	IQCM	-0.081399547	0.011696828	0.021737229
244556_at	LCP2	0.168356425	0.011700622	0.02174276
243087_at	DNAI3	0.211112201	0.011704755	0.021749678
234573_at	LOC101929718	-0.098138956	0.011709506	0.021757746
1552610_a_at	JAK1	0.33118091	0.01171232	0.021762215
238470_at	SYS1	0.159321759	0.011716346	0.021768934
202699_s_at	TMEM63A	-0.395044996	0.011718826	0.021772219
1552402_at	CALML6	-0.073468664	0.011718933	0.021772219
211234_x_at	ESR1	-0.098011729	0.011720841	0.021775001
220698_at	LINC01711	0.156850845	0.011722057	0.021775906
224942_at	PAPPA	0.316918195	0.011722153	0.021775906
226454_at	MARCHF9	0.556666688	0.011722557	0.021775906
220886_at	GABRQ	-0.116740837	0.011729769	0.021788542
222928_s_at	FHIP2B	0.098344762	0.01174024	0.021806467
232180_at	UGP2	0.203538066	0.011745241	0.021814232
232229_at	SETX	0.20217523	0.011749722	0.021821791
202757_at	NELFB	0.198706324	0.011753155	0.021826801
217240_at	SIRPB1	-0.202077186	0.01175324	0.021826801
1561708_at	CGAS	-0.087662129	0.011757676	0.021834276
207792_at	OPRD1	-0.134634286	0.011761614	0.021840826
226790_at	MORN2	0.290296265	0.011783441	0.021879828
244446_at	SMAD1-AS2	-0.119972144	0.011790112	0.021890685
1555359_at	PIGQ	-0.100012345	0.011791871	0.021892552
221993_s_at	TSR3	-0.110783604	0.011791941	0.021892552
200007_at	SRP14	0.136896064	0.011806365	0.021918566
241424_at	ELAVL4	-0.090526442	0.011810489	0.021925456
204196_x_at	PKNOX1	-0.079585939	0.011824352	0.021950425
238443_at	TFAM	-0.119714004	0.011825261	0.021951213
209399_at	HLCS	0.127806401	0.011825602	0.021951213
240754_at	LOC284933	-0.176384587	0.011832848	0.02196337
1569213_at	LRRC74B	-0.091825252	0.011832978	0.02196337
223751_x_at	TLR10	-0.223252061	0.011834134	0.021964748
224152_s_at	PBRM1	0.169994378	0.011836924	0.021969159
218569_s_at	KBTBD4	-0.182076992	0.011839834	0.021973793
217282_at	MAN1A2	-0.102092992	0.011843097	0.021979082
232449_at	BCO2	-0.19879092	0.011846888	0.021985349
208148_at	MYH4	-0.0730164	0.011848126	0.021986111
214725_at	SBSPON	0.26355461	0.011850413	0.021989588
1556263_s_at	PWRN1	-0.128310123	0.011851662	0.021991137
225170_at	WDR5	0.207879097	0.011857609	0.022001404
1554414_a_at	OSGIN2	0.419030965	0.011864084	0.022012649
237774_at	PENK	-0.163297269	0.011866588	0.022016526
223636_at	ZMYND12	-0.245522603	0.011870479	0.022022978
218661_at	NAA60	0.132177013	0.011876119	0.022032671
219141_s_at	AMBRA1	-0.136989329	0.01187822	0.0220358
205163_at	MYL11	-0.132321881	0.01188005	0.022038426
209885_at	RHOD	0.205135919	0.011883399	0.02204387
205897_at	NFATC4	-0.10395436	0.011891379	0.022055593
230522_s_at	ARHGEF39	0.156390955	0.011892952	0.022057741
202419_at	KDSR	0.227219989	0.011897967	0.022066272
203299_s_at	AP1S2	0.287514504	0.011902888	0.022074629
233071_at	RSPH4A	0.079424206	0.011903887	0.02207571
235838_at	NLGN2	-0.121546155	0.011906933	0.022080589
231618_s_at	SUN3	-0.060812615	0.011914594	0.022094025
231306_at	LYZL4	-0.121964681	0.011922099	0.0221064
221309_at	RBM17	-0.120042641	0.011941477	0.022140014
221140_s_at	GPR132	0.110704666	0.011942987	0.02214204
201375_s_at	PPP2CB	-0.219486217	0.011949535	0.022153408
236848_s_at	TEX13A	-0.10121813	0.011955741	0.022163367
206610_s_at	F11	-0.112547096	0.01196099	0.022172323
1554606_at	CEP120	0.19364707	0.011966813	0.022181571
223714_at	ZNF256	0.149991274	0.011968448	0.022183828
220619_at	CHD7	0.109441478	0.011981641	0.022207507
1561114_a_at	DEPDC4	-0.072027719	0.011992236	0.022225594
238069_at	PNISR-AS1	0.250068308	0.011994379	0.02222879
225290_at	ETNK1	-0.282505909	0.011995098	0.022229348
227474_at	PAX8-AS1	0.404733546	0.011996835	0.022231792
204255_s_at	VDR	-0.09665077	0.012007684	0.022250345
201552_at	LAMP1	0.36225006	0.012008433	0.022250957
1561682_at	TTLL7-IT1	-0.14333611	0.012012654	0.022257226
1569305_a_at	LINC01834	-0.080585068	0.012015794	0.022262268
1562737_at	LINC02465	-0.077287226	0.012023536	0.022275835
223805_at	OSBPL6	0.311494986	0.012026804	0.022281114
234945_at	MTFR2	0.052979769	0.012029633	0.0222848
219906_at	EBLN2	0.173505141	0.012031556	0.022287587
1563316_at	NEGR1-IT1	-0.150991548	0.012034671	0.02229258
1556131_s_at	FBF1	0.12327106	0.01203841	0.022298728
209218_at	SQLE	-0.35500904	0.012041212	0.022302364
237244_at	C10orf71-AS1	-0.172779355	0.012065717	0.022346972
209276_s_at	GLRX	0.339227495	0.012069538	0.022352761
226555_at	INO80D	0.15133775	0.012069684	0.022352761
242447_at	C3orf70	0.415476357	0.012083803	0.022376571
1552455_at	PRUNE2	0.50693149	0.012085792	0.022379474
207397_s_at	HOXD13	0.268324669	0.012087533	0.022381433
207147_at	DLX2	-0.616694935	0.012087692	0.022381433
234519_at	NOBOX	-0.088034094	0.012100573	0.022404503
